,EURUSD
12 12 2017,1.171941
13 12 2017,1.176104
14 12 2017,1.177808
15 12 2017,1.17753
16 12 2017,1.174929
17 12 2017,1.175447
18 12 2017,1.180449
19 12 2017,1.181481
20 12 2017,1.18822
21 12 2017,1.18688
22 12 2017,1.184098
23 12 2017,1.185951
24 12 2017,1.185951
25 12 2017,1.187648
26 12 2017,1.186662
27 12 2017,1.189591
28 12 2017,1.195264
29 12 2017,1.201894
30 12 2017,1.200466
31 12 2017,1.199854
01 01 2018,1.199753
02 01 2018,1.205684
03 01 2018,1.202624
04 01 2018,1.206309
05 01 2018,1.203753
06 01 2018,1.203022
07 01 2018,1.203051
08 01 2018,1.197612
09 01 2018,1.192243
10 01 2018,1.196001
11 01 2018,1.203608
12 01 2018,1.213555
13 01 2018,1.219646
14 01 2018,1.219646
15 01 2018,1.22665
16 01 2018,1.22295
17 01 2018,1.223339
18 01 2018,1.223878
19 01 2018,1.223339
20 01 2018,1.222419
21 01 2018,1.222419
22 01 2018,1.223429
23 01 2018,1.228237
24 01 2018,1.238689
25 01 2018,1.248884
26 01 2018,1.242738
