Date,Open,High,Low,Close,Volume
2013-07-11,3885.439941,3888.189941,3855.050049,3868.979980,92621400
2013-07-12,3878.620117,3886.080078,3844.879883,3855.090088,72635000
2013-07-15,3867.080078,3893.260010,3862.840088,3878.580078,55995800
2013-07-16,3883.469971,3884.639893,3846.820068,3851.030029,65496000
2013-07-17,3858.530029,3883.090088,3821.550049,3872.020020,76429400
2013-07-18,3864.060059,3927.790039,3858.570068,3927.790039,91194000
2013-07-19,3914.760010,3925.320068,3900.100098,3925.320068,89217600
2013-07-22,3929.189941,3945.979980,3915.810059,3939.919922,67872400
2013-07-23,3952.550049,3955.550049,3923.090088,3923.090088,93653800
2013-07-24,3931.239990,3976.500000,3931.239990,3962.750000,101852200
2013-07-25,3961.780029,3967.580078,3920.169922,3956.020020,101230000
2013-07-26,3979.949951,4002.350098,3960.520020,3968.840088,93854600
2013-07-29,3989.340088,3997.860107,3962.429932,3968.909912,89540800
2013-07-30,3983.879883,3998.159912,3966.030029,3986.610107,79142900
2013-07-31,3975.419922,4007.229980,3965.030029,3992.689941,98222000
2013-08-01,3996.810059,4044.500000,3993.750000,4042.729980,133956900
2013-08-02,4059.239990,4059.620117,4027.760010,4045.649902,90971300
2013-08-05,4049.159912,4062.780029,4040.340088,4049.969971,75312500
2013-08-06,4050.969971,4064.979980,4013.959961,4032.570068,102019000
2013-08-07,4024.639893,4043.550049,4010.629883,4038.489990,84145300
2013-08-08,4046.439941,4069.719971,4032.989990,4064.320068,81525100
2013-08-09,4073.770020,4087.729980,4049.870117,4076.550049,87489200
2013-08-12,4080.969971,4088.639893,4048.620117,4071.679932,71797900
2013-08-13,4081.580078,4092.500000,4075.449951,4092.500000,73464100
2013-08-14,4099.330078,4122.160156,4091.580078,4114.200195,72401700
2013-08-15,4108.930176,4111.640137,4055.300049,4093.199951,67105100
2013-08-16,4092.770020,4123.890137,4077.520020,4123.890137,81788800
2013-08-19,4122.379883,4122.379883,4080.659912,4083.979980,63656900
2013-08-20,4067.209961,4067.899902,4005.469971,4028.929932,99059500
2013-08-21,4042.439941,4048.300049,4015.030029,4015.090088,67324800
2013-08-22,4018.250000,4071.729980,4018.250000,4059.120117,78639800
2013-08-23,4058.699951,4073.820068,4025.560059,4069.469971,60975400
2013-08-26,4072.780029,4072.780029,4037.969971,4067.129883,36474700
2013-08-27,4049.129883,4062.479980,3968.729980,3968.729980,108198400
2013-08-28,3955.419922,3976.110107,3934.790039,3960.459961,110503100
2013-08-29,3980.600098,3990.270020,3950.739990,3986.350098,81767500
2013-08-30,3986.229980,3988.929932,3933.780029,3933.780029,93756500
2013-09-02,3974.790039,4014.500000,3974.790039,4006.010010,67423200
2013-09-03,4015.000000,4015.000000,3951.320068,3974.070068,93598000
2013-09-04,3981.879883,3987.879883,3927.629883,3980.419922,83843400
2013-09-05,3986.469971,4009.590088,3968.179932,4006.800049,103932100
2013-09-06,4000.540039,4049.189941,3985.770020,4049.189941,111738400
2013-09-09,4046.260010,4047.939941,4022.810059,4040.330078,76420300
2013-09-10,4071.030029,4119.979980,4067.159912,4116.640137,113480600
2013-09-11,4107.290039,4122.529785,4100.890137,4119.109863,94463300
2013-09-12,4117.640137,4121.319824,4095.209961,4106.629883,115335800
2013-09-13,4101.669922,4117.379883,4095.729980,4114.500000,80926400
2013-09-16,4154.189941,4162.669922,4138.339844,4152.220215,92101800
2013-09-17,4142.229980,4155.850098,4131.220215,4145.509766,79838200
2013-09-18,4147.459961,4170.399902,4134.439941,4170.399902,78450600
2013-09-19,4228.000000,4228.000000,4188.729980,4206.040039,121735400
2013-09-20,4194.939941,4219.899902,4193.919922,4203.660156,199054700
2013-09-23,4207.180176,4216.919922,4162.839844,4172.080078,87034800
2013-09-24,4174.859863,4206.299805,4174.259766,4195.609863,83359100
2013-09-25,4185.200195,4202.540039,4171.879883,4195.350098,82546800
2013-09-26,4199.020020,4202.399902,4170.669922,4186.720215,84538000
2013-09-27,4193.169922,4201.209961,4163.700195,4186.770020,74908000
2013-09-30,4141.549805,4150.439941,4120.240234,4143.439941,90782800
2013-10-01,4151.919922,4196.600098,4150.040039,4196.600098,81348300
2013-10-02,4177.620117,4180.790039,4136.790039,4158.160156,86634500
2013-10-03,4158.930176,4166.919922,4124.830078,4127.979980,70162300
2013-10-04,4127.339844,4176.259766,4124.669922,4164.250000,73009600
2013-10-07,4145.109863,4165.580078,4105.669922,4165.580078,70427600
2013-10-08,4160.879883,4172.180176,4133.189941,4133.529785,80755100
2013-10-09,4127.419922,4162.250000,4113.680176,4127.049805,100956600
2013-10-10,4156.419922,4220.620117,4148.419922,4218.109863,112910700
2013-10-11,4227.310059,4227.540039,4209.120117,4219.979980,82964500
2013-10-14,4206.100098,4222.959961,4192.589844,4222.959961,68353200
2013-10-15,4239.209961,4261.740234,4232.129883,4256.020020,89147800
