<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110825,5205.90,5254.20,5102.10,5131.10,1128589200
20110826,5131.10,5149.50,5014.80,5129.90,1037445300
20110830,5129.90,5283.60,5129.90,5268.70,910283000
20110831,5268.70,5411.60,5258.60,5394.50,1178142400
20110901,5394.50,5449.70,5346.70,5418.60,978886200
20110902,5418.60,5418.60,5258.50,5292.00,824122400
20110905,5292.00,5292.00,5097.70,5102.60,789914600
20110906,5102.60,5190.30,5086.80,5156.80,946129800
20110907,5156.80,5322.20,5156.80,5318.60,837910400
20110908,5318.60,5369.80,5269.70,5340.40,922652000
20110909,5340.40,5352.00,5202.20,5214.60,1048625900
20110912,5214.60,5214.60,5059.20,5129.60,1009065200
20110913,5129.60,5203.10,5069.50,5174.30,887217000
20110914,5174.30,5270.40,5146.40,5227.00,1116939900
20110915,5227.00,5366.70,5227.00,5337.50,1124039900
20110916,5337.50,5406.10,5337.50,5368.40,1464013600
20110919,5368.40,5368.40,5231.60,5259.60,721392600
20110920,5259.60,5377.40,5219.10,5363.70,708695000
20110921,5363.70,5366.10,5268.80,5288.40,772251800
20110922,5288.40,5288.40,5013.50,5041.60,1191994700
20110923,5041.60,5105.40,4928.10,5066.80,1013630300
20110926,5066.80,5148.80,4974.00,5089.40,1042813300
20110927,5089.40,5294.00,5089.40,5294.00,960705800
20110928,5294.00,5314.30,5191.40,5217.60,726670200
20110929,5217.60,5250.20,5160.80,5196.80,736900000
20110930,5196.80,5197.30,5068.60,5128.50,889500800
20111003,5128.50,5128.50,4983.30,5075.50,774952000
20111004,5075.50,5075.50,4868.60,4944.40,1168273000
20111005,4944.40,5121.40,4944.40,5102.20,932393600
20111006,5102.20,5291.30,5102.20,5291.30,1147794300
20111007,5291.30,5370.90,5261.40,5303.40,864877000
20111010,5303.40,5413.40,5303.40,5399.00,613629200
20111011,5399.00,5399.00,5330.40,5395.70,637285400
20111012,5395.70,5458.00,5348.20,5441.80,833336600
20111013,5441.80,5456.10,5368.40,5403.40,912369000
20111014,5403.40,5501.40,5395.60,5466.40,674572200
20111017,5466.40,5543.70,5405.20,5436.70,720599600
20111018,5436.70,5436.70,5348.60,5410.40,754537000
20111019,5410.40,5483.80,5410.40,5450.50,723007400
20111020,5450.50,5450.50,5363.20,5384.70,797352400
20111021,5384.70,5500.50,5384.70,5488.60,730196000
20111024,5488.60,5552.80,5487.20,5548.10,677901200
20111025,5548.10,5574.10,5465.50,5525.50,777723200
20111026,5525.50,5576.60,5498.50,5553.20,708484200
20111027,5553.20,5747.30,5553.20,5713.80,1454233000
20111028,5713.80,5746.90,5685.00,5702.20,997550600
20111031,5702.20,5702.20,5544.20,5544.20,1079784200
20111101,5544.20,5544.20,5338.40,5421.60,1335198700
20111102,5421.60,5493.30,5383.40,5484.10,1363052700
20111103,5484.10,5564.50,5402.60,5545.60,1232998000
20111104,5545.60,5599.50,5495.40,5527.20,873169200
20111107,5527.20,5557.80,5432.20,5510.80,730611200
20111108,5510.80,5616.00,5509.60,5567.30,885001600
20111109,5567.30,5615.80,5426.30,5460.40,1074608400
20111110,5460.40,5497.20,5360.20,5444.80,799967600
20111111,5444.80,5548.80,5439.80,5545.40,721167400
20111114,5545.40,5575.20,5489.30,5519.00,687675200
20111115,5519.00,5551.40,5428.60,5517.40,842112000
20111116,5517.40,5562.90,5450.20,5509.00,941320000
20111117,5509.00,5509.00,5366.10,5423.10,1059574600
20111118,5423.10,5423.10,5347.90,5362.90,826014000
20111121,5362.90,5362.90,5221.70,5222.60,955270000
20111122,5222.60,5282.00,5206.80,5206.80,915478600
20111123,5206.80,5206.80,5139.80,5139.80,1009697900
20111124,5139.80,5184.30,5099.00,5127.60,856602400
20111125,5127.60,5200.30,5075.20,5164.60,733865200
20111128,5164.60,5327.80,5164.60,5312.80,899087000
20111129,5312.80,5344.20,5272.40,5337.00,798981400
20111130,5337.00,5539.00,5275.00,5505.40,1647245400
20111201,5505.40,5553.90,5486.90,5489.30,939174800
20111202,5489.30,5595.50,5489.10,5552.30,984099600
20111205,5552.30,5602.80,5545.90,5568.00,900658000
20111206,5568.00,5593.00,5521.90,5568.70,857312600
20111207,5568.70,5631.90,5498.00,5546.90,932154800
20111208,5546.90,5605.30,5483.80,5483.80,907438000
20111209,5483.80,5540.50,5440.90,5529.20,841896600
20111212,5529.20,5529.20,5427.90,5427.90,815332200
20111213,5427.90,5526.00,5413.70,5490.10,757732000
20111214,5490.10,5490.10,5366.80,5366.80,860719600
20111215,5366.80,5434.00,5366.80,5400.90,803271600
20111216,5400.90,5452.60,5387.30,5387.30,1274144100
20111219,5387.30,5410.10,5343.10,5365.00,632321200
20111220,5365.00,5426.30,5328.70,5419.60,779731400
20111221,5419.60,5479.20,5371.60,5389.70,803794200
20111222,5389.70,5469.00,5389.70,5457.00,617195800
20111223,5457.00,5516.60,5457.00,5512.70,204750000
20111228,5512.70,5567.90,5491.00,5507.40,449839600
20111229,5507.40,5566.80,5496.90,5566.80,326449000
20111230,5566.80,5588.40,5535.20,5572.30,188110800
20120103,5572.30,5699.90,5572.30,5699.90,783529200
20120104,5699.90,5719.80,5646.40,5668.50,696937800
20120105,5668.50,5689.30,5614.40,5624.30,794279400
20120106,5624.30,5682.80,5623.40,5649.70,705018000
20120109,5649.70,5673.80,5604.60,5612.30,788891400
20120110,5612.30,5711.90,5612.30,5696.70,865034400
20120111,5696.70,5700.80,5644.80,5670.80,894220800
20120112,5670.80,5699.60,5640.30,5662.40,1383932300
20120113,5662.40,5709.20,5583.50,5636.60,1318584300
20120116,5636.60,5662.90,5609.90,5657.40,672823000
20120117,5657.40,5724.40,5657.40,5694.00,1232187200
20120118,5694.00,5709.90,5647.90,5702.40,792321000
20120119,5702.40,5743.90,5693.20,5741.10,1404442300
20120120,5741.10,5749.80,5721.60,5728.50,1315166100
20120123,5728.50,5789.90,5723.10,5782.60,852459600
20120124,5782.60,5782.60,5719.90,5751.90,916504800
20120125,5751.90,5777.70,5694.00,5723.00,884691000
20120126,5723.00,5806.20,5722.80,5795.20,874328800
20120127,5795.20,5795.20,5729.00,5733.50,790045200
20120130,5733.50,5733.50,5651.60,5671.10,778100000
20120131,5671.10,5730.30,5671.10,5681.60,1018319000
20120201,5681.60,5790.70,5680.70,5790.70,989847000
20120202,5790.70,5809.80,5765.70,5796.10,971388400
20120203,5796.10,5901.10,5784.20,5901.10,1156774100
